ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
G.47.71.00,Commercio al dettaglio di articoli di abbigliamento in esercizi specializzati,1.a Impresa,93840,2,PA,Micro (1-10),Very Small (<100k),Wholesale/Retail,1601843,36
H.49.41.00,Trasporto di merci su strada,1.a Impresa,1242280,4,MB,Micro (1-10),Medium (1M-10M),Transportation,2373985,36
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,1.a Impresa,44451177,159,MI,Medium (51-250),Large (>10M),Wholesale/Retail,2869110,36
N.77.40.00,CONCESSIONE DEI DIRITTI DI SFRUTTAMENTO DI PROPRIETÀ INTELLETTUALE E PRODOTTI SIMILI (ESCLUSE LE OPERE PROTETTE DAL COPYRIGHT),1.a Impresa,49918687,53,RM,Medium (51-250),Large (>10M),Business Services,1141625,20
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,7115458,18,MI,Small (11-50),Medium (1M-10M),Information/Technology,2180495,36
G.46.51.00,Commercio all'ingrosso di computer apparecchiature informatiche periferiche e di software,1.a Impresa,1703734,14,BG,Small (11-50),Medium (1M-10M),Wholesale/Retail,1878125,36
J.58.14.00,Edizione di riviste e periodici,1.a Impresa,40729416,27,MI,Small (11-50),Large (>10M),Information/Technology,2232584,36
J.62.02.00,Consulenza nel settore delle tecnologie dell'informatica,1.a Impresa,30597750,68,MI,Medium (51-250),Large (>10M),Information/Technology,2038979,36
H.49.41.00,Trasporto di merci su strada,1.a Impresa,1280741,5,RN,Micro (1-10),Medium (1M-10M),Transportation,1751481,36
G.46.37.01,Commercio all'ingrosso di caffè,1.a Impresa,33067240,80,MB,Medium (51-250),Large (>10M),Wholesale/Retail,1729976,32
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,1868531,7,MI,Micro (1-10),Medium (1M-10M),Transportation,640956,8
G.47.59.10,Commercio al dettaglio di mobili per la casa,1.a Impresa,9821005,60,BZ,Medium (51-250),Medium (1M-10M),Wholesale/Retail,824935,20
G.47.78.99,Commercio al dettaglio di altri prodotti non alimentari nca,1.a Impresa,19498535,78,BO,Medium (51-250),Large (>10M),Wholesale/Retail,1696234,36
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,2144488,3,VA,Micro (1-10),Medium (1M-10M),Information/Technology,2083078,36
H.49.41.00,Trasporto di merci su strada,1.a Impresa,808877,4,RN,Micro (1-10),Small (100k-1M),Transportation,1510198,36
G.46.49.90,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,1.a Impresa,9626669,18,VA,Small (11-50),Medium (1M-10M),Wholesale/Retail,1270226,36
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,11062597,43,BS,Small (11-50),Large (>10M),Wholesale/Retail,1100792,36
G.46.90.00,COMMERCIO ALL'INGROSSO NON SPECIALIZZATO,1.a Impresa,6079244,35,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,1173754,36
M.70.22.09,Altre attività di consulenza imprenditoriale e altra consulenza amministrativogestionale e pianificazione aziendale ,1.a Impresa,1501262,9,VA,Micro (1-10),Medium (1M-10M),Professional Services,1316049,36
G.46.76.30,Commercio all'ingrosso di imballaggi,1.a Impresa,16126240,34,Unknown,Small (11-50),Large (>10M),Wholesale/Retail,1306431,36
H.52.29.10,Spedizionieri e agenzie di operazioni doganali,1.a Impresa,3183796,15,BZ,Small (11-50),Medium (1M-10M),Transportation,1253496,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,73951,1,Unknown,Micro (1-10),Very Small (<100k),Transportation,654583,19
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,1160116,7,MI,Micro (1-10),Medium (1M-10M),Transportation,1464163,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,1929062,11,PR,Small (11-50),Medium (1M-10M),Transportation,1253455,36
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,10214082,12,SS,Small (11-50),Large (>10M),Wholesale/Retail,1001289,34
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,37799981,98,TV,Medium (51-250),Large (>10M),Transportation,1881308,34
G.46.17.07,"""Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco""",1.a Impresa,60,1,Unknown,Micro (1-10),Very Small (<100k),Wholesale/Retail,460189,8
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,5426968,16,RM,Small (11-50),Medium (1M-10M),Wholesale/Retail,1178858,36
G.46.42.10,Commercio all'ingrosso di abbigliamento e accessori,1.a Impresa,7432905,22,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,1037158,27
G.46.49.40,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),1.a Impresa,38164302,61,GE,Medium (51-250),Large (>10M),Wholesale/Retail,1259805,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,16640715,32,AL,Small (11-50),Large (>10M),Transportation,1292068,36
