,Fatturato,Fatturato,Fatturato,Dipendenti,Total_Revenue_36M,Active_Months
,mean,sum,count,sum,sum,mean
Industry,,,,,,
Business Services,3198109.7,2833525197,886,27991,34572901,20.77
Information/Technology,3341053.49,3013630250,902,20650,26235557,19.79
Manufacturing,6174721.21,27792420148,4501,115263,27587544,15.1
Other,3319949.46,8346352950,2514,114096,9929614,15.25
Other Services,1269661.82,594201733,468,7239,5977981,18.56
Professional Services,2882778.73,2265864083,786,23132,9928036,15.75
Public Administration,11343268.09,3902084223,344,24837,6470232,7.33
Transportation,3768825.09,3667066808,973,19295,64297880,18.03
Wholesale/Retail,2938528.02,25491730575,8675,82652,138478018,17.52
